label_value	roi_id	name	network	x	y	z
1	1	7Networks_LH_Vis_1	Vis	-25.748110831234257	-32.617128463476064	-17.38287153652393
2	2	7Networks_LH_Vis_2	Vis	-25.481288076588346	-76.59181897302003	-13.514360313315926
3	3	7Networks_LH_Vis_3	Vis	-16.443505807814148	-60.95459345300951	-6.741288278775073
4	4	7Networks_LH_Vis_4	Vis	-27.13081761006289	-94.49056603773585	-4.744654088050311
5	5	7Networks_LH_Vis_5	Vis	-5.422832980972515	-92.13319238900634	-2.570824524312897
6	6	7Networks_LH_Vis_6	Vis	-12.099221789883272	-65.37937743190662	6.105058365758751
7	7	7Networks_LH_Vis_7	Vis	-47.049840933191945	-70.84411452810181	10.50265111346765
8	8	7Networks_LH_Vis_8	Vis	-25.74545454545455	-88.01497326203209	20.49732620320856
9	9	7Networks_LH_Vis_9	Vis	-7.196675900277015	-81.46999076638966	25.94459833795014
10	10	7Networks_LH_SomMot_1	SomMot	-53.15614617940199	-22.393355481727568	7.929568106312288
11	11	7Networks_LH_SomMot_2	SomMot	-37.237735849056605	-21.200000000000003	15.501886792452837
12	12	7Networks_LH_SomMot_3	SomMot	-54.47671232876712	-11.335159817351595	13.60730593607306
13	13	7Networks_LH_SomMot_4	SomMot	-54.59639639639639	-8.248648648648654	33.44864864864864
14	14	7Networks_LH_SomMot_5	SomMot	-39.27590090090089	-23.19369369369369	58.92567567567568
15	15	7Networks_LH_SomMot_6	SomMot	-10.79663865546219	-26.320168067226888	63.50756302521009
16	16	7Networks_LH_DorsAttn_Post_1	DorsAttn	-46.6181052631579	-56.80842105263157	-12.533052631578949
17	17	7Networks_LH_DorsAttn_Post_2	DorsAttn	-57.48970251716247	-24.997711670480555	38.508009153318085
18	18	7Networks_LH_DorsAttn_Post_3	DorsAttn	-25.0835734870317	-68.0657060518732	48.1314121037464
19	19	7Networks_LH_DorsAttn_Post_4	DorsAttn	-41.692870201096895	-34.438756855575875	48.018281535649
20	20	7Networks_LH_DorsAttn_Post_5	DorsAttn	-5.804938271604939	-59.81975308641975	56.42962962962963
21	21	7Networks_LH_DorsAttn_Post_6	DorsAttn	-22.317327766179545	-50.49895615866389	66.13569937369519
22	22	7Networks_LH_DorsAttn_PrCv_1	DorsAttn	-48.051948051948045	6.02251082251081	27.743722943722943
23	23	7Networks_LH_DorsAttn_FEF_1	DorsAttn	-27.07611241217799	-2.878220140515225	58.889929742388745
24	24	7Networks_LH_SalVentAttn_ParOper_1	SalVentAttn	-58.620945319740514	-37.70713623725672	30.15384615384616
25	25	7Networks_LH_SalVentAttn_FrOperIns_1	SalVentAttn	-41.60414703110274	-1.5852968897266777	-6.6107445805843525
26	26	7Networks_LH_SalVentAttn_FrOperIns_2	SalVentAttn	-38.086330935251794	12.105515587529965	6.441247002398086
27	27	7Networks_LH_SalVentAttn_PFCl_1	SalVentAttn	-29.603174603174608	43.54232804232805	29.755291005291
28	28	7Networks_LH_SalVentAttn_Med_1	SalVentAttn	-5.113207547169807	19.571069182389948	33.60125786163522
29	29	7Networks_LH_SalVentAttn_Med_2	SalVentAttn	-10.631419939577045	-34.38670694864048	45.879154078549846
30	30	7Networks_LH_SalVentAttn_Med_3	SalVentAttn	-6.131212723658052	3.22266401590457	61.45526838966202
31	31	7Networks_LH_Limbic_OFC_1	Limbic	-13.649649649649646	32.43343343343344	-19.884884884884883
32	32	7Networks_LH_Limbic_TempPole_1	Limbic	-33.423062090242965	0.9541072117238656	-34.814500578480526
33	33	7Networks_LH_Limbic_TempPole_2	Limbic	-56.6658878504673	-32.24649532710281	-21.154205607476637
34	34	7Networks_LH_Cont_Par_1	Cont	-37.492181682799696	-53.96276991809383	46.36187639612807
35	35	7Networks_LH_Cont_PFCl_1	Cont	-43.08970438328237	32.61162079510703	20.21100917431193
36	36	7Networks_LH_Cont_pCun_1	Cont	-9.563636363636364	-73.09454545454545	37.490909090909085
37	37	7Networks_LH_Cont_Cing_1	Cont	-3.7438794726930382	-26.25612052730696	32.55367231638418
38	38	7Networks_LH_Default_Temp_1	Default	-55.19617224880383	-3.414354066985652	-20.338755980861244
39	39	7Networks_LH_Default_Temp_2	Default	-57.90449954086319	-31.77961432506888	-1.5151515151515156
